particleID,gravelometer_size,Date1,Date2,DistanceD,intersect,intersect_area,MaxD,MinD,Radius1,Radius2,event,valid_euc,valid_min,valid_max,moved_euc,moved_min,moved_max,counted_moved_euc,counted_moved_min,counted_moved_max
9,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
9,90.0,08_24_22,03_24_2023,,,0.0,,,,0.059822001,M5,False,False,False,False,False,False,False,False,False
9,90.0,03_24_2023,06_17_2023,0.019344285,False,0.0,0.081793506,0.0,0.059822001,0.00262722,M6,False,False,True,False,False,False,False,False,False
9,90.0,06_17_2023,07_31_2023,0.014022054,False,0.0,0.067287708,0.0,0.00262722,0.050638434,M7,False,False,True,False,False,False,False,False,False
9,90.0,07_31_2023,09_20_2023,2.735931707,False,0.0,4.815375826,0.656487588,0.050638434,2.028805685,M8,True,False,True,True,False,True,False,False,False
10,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
10,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
10,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
10,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
10,64.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
10,64.0,03_24_2023,06_17_2023,,,0.0,,,,0.000974999,M6,False,False,False,False,False,False,False,False,False
10,64.0,06_17_2023,07_31_2023,0.042815158,False,0.0,0.044971862,0.040658454,0.000974999,0.001181705,M7,True,True,True,False,False,False,False,False,False
10,64.0,07_31_2023,09_20_2023,0.019916971,False,0.0,0.026450206,0.013383736,0.001181705,0.00535153,M8,True,True,True,False,False,False,False,False,False
11,90.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
11,90.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
11,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
11,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
11,90.0,08_24_22,03_24_2023,,,0.0,,,,0.081542727,M5,False,False,False,False,False,False,False,False,False
11,90.0,03_24_2023,06_17_2023,0.356742926,False,0.0,1.042376595,0.0,0.081542727,0.604090942,M6,False,False,True,False,False,True,False,False,False
11,90.0,06_17_2023,07_31_2023,0.029646743,False,0.0,1.171024516,0.0,0.604090942,0.53728683,M7,False,False,True,False,False,False,False,False,False
11,90.0,07_31_2023,09_20_2023,0.068734054,False,0.0,1.041413428,0.0,0.53728683,0.435392544,M8,False,False,True,False,False,False,False,False,False
12,90.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
12,90.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
12,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
12,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
12,90.0,08_24_22,03_24_2023,,,0.0,,,,0.027974929,M5,False,False,False,False,False,False,False,False,False
12,90.0,03_24_2023,06_17_2023,1.465804021,False,0.0,1.537823263,1.393784778,0.027974929,0.044044314,M6,True,True,True,True,True,True,False,False,False
12,90.0,06_17_2023,07_31_2023,0.038497149,False,0.0,0.180188341,0.0,0.044044314,0.097646878,M7,False,False,True,False,False,False,False,False,False
12,90.0,07_31_2023,09_20_2023,0.047571022,True,0.016525223,0.226895701,0.0,0.097646878,0.081677802,M8,False,False,True,False,False,False,False,False,False
13,64.0,03_28_2022,07_06_2022,0.243196906,True,0.003503793,0.523595812,0.0,0.147939334,0.132459572,M1,True,False,True,True,False,True,False,False,False
13,64.0,07_06_2022,08_06_2022,0.067243546,False,0.0,0.243896038,0.0,0.132459572,0.04419292,M2,False,False,True,False,False,True,False,False,True
13,64.0,08_06_2022,08_09_2022,0.007179874,False,0.0,0.158650646,0.0,0.04419292,0.107277852,M3,False,False,True,False,False,False,False,False,False
13,64.0,08_09_2022,08_24_22,0.06884668,True,0.019682396,0.276066737,0.0,0.107277852,0.099942206,M4,False,False,True,False,False,True,False,False,True
13,64.0,08_24_22,03_24_2023,0.040215761,False,0.0,0.412464864,0.0,0.099942206,0.272306896,M5,False,False,True,False,False,False,False,False,False
13,64.0,03_24_2023,06_17_2023,0.925641767,False,0.0,1.314985041,0.536298493,0.272306896,0.117036378,M6,True,True,True,True,True,True,True,False,True
13,64.0,06_17_2023,07_31_2023,0.073811142,True,0.040854502,0.364832723,0.0,0.117036378,0.173985203,M7,False,False,True,False,False,True,False,False,True
13,64.0,07_31_2023,09_20_2023,0.08334082,True,0.050639648,0.398236581,0.0,0.173985203,0.140910559,M8,False,False,True,False,False,True,False,False,True
14,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
14,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
